book_id,user_id,review_text,ratings,review_date,source,author,book_name
B0033UV8HI,A3HHXRELK8BHQG,Jace Rankin may be short but hes nothing to mess with as the man who was just hauled out of the saloon by the undertaker knows now Hes a famous bounty hunter in Oregon in the 1890s who when he shot the man in the saloon just finished a years long quest to avenge his sisters murder and is now trying to figure out what to do next When the snottynosed farm boy he just rescued from a gang of bullies offers him money to kill a man who forced him off his ranch he reluctantly agrees to bring the man to justice but not to kill him outright But first he needs to tell his sisters widower the newsKyla Kyle Springer Bailey has been riding the trails and sleeping on the ground for the past month while trying to find Jace She wants revenge on the man who killed her husband and took her ranch amongst other crimes and shes not so keen on the detour Jace wants to take But she realizes shes out of options so she hides behind her boy persona as best she can and tries to keep pace When a confrontation along the way gets her shot and Jace discovers that Kyles a Kyla she has to come clean about the whole reason she needs this scoundrel dead and hope hell still help herThe book has its share of touching moments and slowblooming romance Kyla we find out has good reason to fear men and hide behind a boys persona Watching Jace slowly pull her out of that shell and help her conquer her fears was endearing Her pain was real and deeplyrooted and didnt just disappear in the face of his sexiness Neither did his understandable aversion to marriage magically disappear after a round of nookie Why would a man whos drifted from town to town for his entire adult life a man whos killed his fair share of men along the way feel hed make a good husband or father Theyre both the walking wounded and in a unique position to help each other they just need time to realize itHowever while it was packed to bursting with my favorite themes Old West setting a heroine passing as male a morally ambiguous hero wounded souls road romance the kitchen sink there was a certaindistance in the writing that kept me from getting carried away Both characters were distinct and fullyformed and I couldnt point to any glaring instances of bland telling or anything I just never felt really invested I enjoyed it quite a bit as it was an exciting trip but I was watching them from far away I definitely wasnt on the run alongside them Add on a hasty and too tidy ending and the book left me feeling a bit less than completely satisfiedI enjoyed the book but I cant say it was above average Id still read another book by the authorNote I read the rereleased ebook version and noticed there were a lot of formatting errors and missing words I had to mentally edit as I read for some sentences to make sense It wasnt too too bad but it was a little distracting,3,2010-09-02,Amazon,Unknown,Unknown
B002HJV4DE,A2RGNZ0TRF578I,Great short read I didnt want to put it down so I read it all in one sitting The sex scenes were great between the two males and one female charactera bit surprising I never thought you could do that I learned something new and really enjoyed reading this book This is a great way to get all hot and bothered and take advantage of your significant others,5,2013-10-08,Amazon,Unknown,Unknown
B002ZG96I4,A3S0H2HV6U1I7F,Ill start by saying this is the first of four books so I wasnt expecting it to 34conclude34 It centers on 3 children Alex and his younger brother Argus and Alexs friend Sapphire They find a name on a bus map that they cant find and so the mystery starts Well written with good character development although lots of room still for moreIts quite a short book so I will be moving onto book 2 swiftly,3,2014-04-11,Amazon,Unknown,Unknown
B002QHWOEU,AC4OQW3GZ919J,Aggie is Angela Lansbury who carries pocketbooks instead of writing them While this light murder mystery is laced with misdirections the clues lead to a rather obvious cliche of an ending The setting views described in the story are its best and most believable parts and Aggie the only wellwritten character Very light reading,3,2014-07-05,Amazon,Unknown,Unknown
B001A06VJ8,A3C9V987IQHOQD,I did not expect this type of book to be in library was pleased to find it price was right,4,2012-12-31,Amazon,Unknown,Unknown
B0021L9YDK,A3J5NN6MJK4M4A,Aislinn is a little girl with big dreams After the death of her older brother she decides to follow in his footsteps and become a lady knight Her quest for knighthood brings many challenges and the temptation of forbidden love Aislinn learns that being a knight means putting the Kingdom in front of personal concerns and helping those that cannot help themselves In a journey is fraught with danger and filled with adventure Aislinn is forced to grow up fast She must stay strong and develop the skills necessary to realize her lifelong dreamWith sword fights passionate love mythical creatures and courtly games Woman of Honor is my kind of book I love the idea of incorporating real history in fantasy and Ms Zoltacks book is based on the real life story of a group of female knights Blending history with fiction her writing is full of plot and adventure and her characters are strong and believable Most of all I grew to love all of them and cared about their hardships and successesAislinn is quite the main protagonist Shes tenacious and bold beautiful and strong The romance that blooms between her and the prince is well developed after years of solid friendship and teasing I enjoyed reading about their secret courtship and had no idea how their romance would turn out Ms Zoltack has a few twists in store that will shock and startle as well as pleaseIn conclusion I thoroughly recommend this book for everyone that enjoys fantasy romance and adventure I will be eagerly awaiting the sequel Knight of Glory,5,2009-12-07,Amazon,Unknown,Unknown
B0038NN38W,A531QY5K7JVXI,This has the makings of a good story unfortunately it disappointsit tells of two alpha were who are members of unfriendly packs they have grown up together with one being gay and the other straight then when it seems they are about to get together something happens and the story is told in alternating chapters of past and present the story and the couple fall apart in the switch of time and lack of a sustainable reason for the break,2,2011-08-18,Amazon,Unknown,Unknown
B002AJ7X2C,AN8ELR6AHMMQ,I got this because I like collaborated short stories Alot of times when two good writers put their heads together the results turn out well This is the case with this short story The writers take an age old lesson and turn it into a good read It begins with as they call it Crazy 1 who is picking up a hitchhiker and from there it gets graphic and a little much for my taste Then it cuts to Nutcase 2 who is hitchhiking They inevitably get together and the results are suspenseful The ending I felt was well deserved on both accountsI also watched the video of the two authors on how they decided to break this short story up and the idea was cool One wrote their side for scenario 1 and the other did scenario 2 without talking with each other about how tier side was going Then when it came for them to bring the two pieces together they made them fit perfectly I think it took great talent for two authors to take their two seperate stories and merge them as well as they didThe story does have some pretty graphic details which is forwarned but if you dont mind a little detail for a short story then definitely pick this one up,4,2010-03-08,Amazon,Unknown,Unknown
B001L5T22U,AMSWCFSQ8SLK9,Loved this book I am hooked on this series and hope there is more Kelsey Maxwell really made these characters so I couldnt get enough,5,2013-09-30,Amazon,Unknown,Unknown
B002F3PPVE,AB53C7GYZHYIE,And thats a good thing Short sweet tease that gives you everything in a quick kick A kick that comes in the dark,4,2009-07-29,Amazon,Unknown,Unknown
B004NIFTI8,A1W50RO0EBZF8B,I received a copy of book to review A secret society A fanatical cult A telepathic girl are not my cup of tea This was not what I expected and I really dont need another continuational book I still havent read the Catching Fire from the Hunger Games I dont get into all this scifi stuff Just not my cup of tea Sorry,1,2011-10-10,Amazon,Unknown,Unknown
B0030CMJEK,A1LIS1DJXN2P7C,Even though you already know what the outcome will be this is still an enjoyable and erotic read It was just a little short for my taste,4,2013-05-08,Amazon,Unknown,Unknown
B004AYDLOO,A38STH7HRC6ACX,I read the other reviews and decided to give it a try despite the review labeling it brutal Believe the reviewer who called it brutal This was beyond disturbing I can read almost anything recognizing that it is fiction but not this I returned it If less than a 1 star rating were available I would have used it,1,2012-05-23,Amazon,Unknown,Unknown
B001IP0UII,A3LXRIY0HE71K,I just finished a reread of WICKED GARDEN and all I can say is WOW even in a novella Lorelei James can write stories so hot your ereader starts smokinWICKED GARDEN is a short story about lost loves reuniting with a little extra sumthin sumthin Billy Buchanan returns to Spearfish as a favor for a business associate He agreed as a favor but also because it would give him a chance to reignite the spark from his high school flame Eden LaCroix For the past ten years he has regretted walking away from Eden Eden has spent the last ten years building a career and dedicated to the local community center helping at risk kids She hasnt had time for real relationships just the occasional no strings attached hook ups with sexy Native American rock star Jon White FeatherWhen Billy and Eden see each other for the first time in ten years the chemistry spikes off the charts but Eden is determined to fight it because Billy is working on a project that could destroy her job He quickly sweet talks her into seeing him out side the project As things heat up between Eden and Billy and they are both realizing they still have strong feelings for each otherdunh dunh dunhJon comes home for a couple of days Billy and Jon decide they want to give Eden one of her darkest fantasies BOY O BOY is this a hot menageI really like Eden even though she is worried about her heart and Billy leaving her again she takes charge of her sexuality and is not scared to go after what she wants sexually As much as I liked Eden in this story it is Billy and Jon who stole the story for me Both men are sexy and strong Billy is possessive sexy dominant and vulnerable I absolutely adore the way he treats Eden and some of the insecurities he displays JONoh my he is my favorite dont get me wrong I love Billy but the way Jon treats Eden before during and after the menage just melts my heart among other things Not to mention Jon is a sexy rock star I am over the moon excited that Jon is getting his own novella BALLROOM BLITZ release date 10212Folkslet me tell youif I could get the action that went on in the work out room in WICKED GARDEN I would be in the work out room five to ten times a dayWICKED GARDEN is a great novella perfect for an afternoon when you want to escape for a few hours A bonus is we get to see how sexy Lorelei writes noncowboys yep be it in a cowboy hat or a suit Ms James knows how to write sexy as hell heroes,4,2012-09-26,Amazon,Unknown,Unknown
B001U0Q17K,AXJ9V25Q88GAA,But its from the King James Version so far as I can tell As you may know from 1611 the KJV was published with these books included You can get an ebook KJV with Apocrypha from KindleBible KJV with Apocrypha best navigation with Direct Verse JumporKing James Bible with the ApocryphaorKing James Bible with the ApocryphaFor those who want to read more commentary on these books than is provided in the short intros by Misbach you can refer to either Halleys Bible HandbookHalleys Bible Handbook with the New International VersionDeluxe Editionor The New Ungers Bible HandbookThe New Ungers Bible Handbook both available as Kindle ebooks,5,2013-05-12,Amazon,Unknown,Unknown
B001O5CLNE,A1IVBDLAO9MP4A,I was very disappointed with this book not because I have anything against blonds I am one but because I figured that out of 500 jokes there HAD to be some good laughs I was wrong First I didnt count them but Id be real surprised if there were even 200 jokes in this book Second among those 200 possible jokes at least 50 were repeated 2 or more time in different parts of the book Its almost as if the writer kept a running list of jokes as he heard them with no real concern about whether or not they might already have been recorded Then he decided there MUST be at least 500 jokes here Finally to be perfectly frank with you I do not recall laughing at a single one of these jokes Most were better described as insults mistaking the degradation of a group of people for humor Very 7th Grade material Dont bother with this one Its not worth the 99 cents Its not even worth free,2,2012-08-14,Amazon,Unknown,Unknown
B001KC6XH6,A3CMSC7HZMYCC2,This was a super quick book I wish it would have been longer Really liked the characters Very sexy bedroom pool table sex This is a good author,4,2013-02-21,Amazon,Unknown,Unknown
B003YUCBTG,A3KXRMTQ39ZBRW,How many times is author going to get Amazon to delete this or add comments about alleged conspiracies of people out to get him Is he fin delusional My reviewI have to agree with a few previous reviewers The author doesnt know the basic mechanics of writing so how in the world is this or any other hes written full stars Theres not a page that isnt filled with grammar problems The story itself suffers the same problems from the authors inattention to detail Characters are inconsistent in their actions Its like theyre interchangeable pegs on a board the author puts into places when he needs them,1,2012-05-21,Amazon,Unknown,Unknown
