book_id,book_name,user_id,author,review_text,ratings,review_date,source
1250866448,Friends Lovers and the Big Terrible Thing A Memoir,Veronica R Ewing,Matthew Perry,What a shock to lose such a talented and funny actor so young I know when this memoir first came out a lot of people had a lot of not very nice things to say about Matthew Perry but I think they didnt get it This man had severe childhood trauma and abandonment issues that he never processed and he was a drug addict He really bares his soul here in this book I have always loved Matthew Perry and I was still love him even after reading his memoir Im so sad that he never was able to permanently beat his demons He was a talented and funny actor and not just in FriendsI hope he is resting peacefully now After 50 years of no sleep here is hoping the eternal one also comes with an amazing view where he can see how much the world really did love him,4,2023-10-30,Customer
038554734X,Lessons in Chemistry A Novel,Sonia,Bonnie Garmus,Oh my God I LOVE THIS BOOK SO SO SO MUCH 5 stars DEFINITELY I dont care what other reviewers say I LOVE THIS BOOK I read it for my book club Im SO glad I did I mean yes I agree with what some reviewers say it IS sadly a fantasy The sad truth is that Elizabeth Zott the FMC would probably NOT have even been ALLOWED to work in a scientific lab in the 50s let alone be on TV talking ABOUT chemistry yes it wasnt as laughoutloud as I thought it was gonna be particularly at the beginning with the rpe scene the sexism throughout the book that made me as a woman in my 30s now VERY angry And yes I DO think it SHOULD have trigger warnings because of this And it didnt have as much romance as the AppleTV trailer made it seems yes I watched the trailer BEFORE reading the book sue me BUT I DIDNT see the actual show yet But it DID make me laughoutloud in the middle had me smiling widely by the end of it It also has a very nice twist at the end Im not gonna tell you what the twist was because that would be a MAJOR spoiler But anyway now Im very much looking forward to seeing the AppleTV show comparing it with the book I would 1000 recommend,5,2023-10-24,Customer
1338233580,Flash Cards Sight Words,Ryan Williams,Scholastic,I bought these for my son who was struggling reading in first grade after just a week of using these along with him trying har don his own in school he moved up significantly in his reading scores now in the second grade he is at the top of his class with reading and reads chapter books on his ownI can 100 recommend these for anyone whos wanting a bit more help learning to read,5,2023-09-29,Customer
1635575583,A Court of Mist and Fury A Court of Thorns and Roses 2,Brittany,Sarah J Maas,Warning This is NOT a spoilerfree review like I usually write I wont give away twists from the very end but I WILL be discussing things that happened throughout the beginning and middle of the book I was pleasantly surprised when I read A COURT OF THORNS AND ROSES last year because going into it I knew it was a story with a strong fae presence By this point in time in my reading career I wasnt new to fantasy but I was still a bit picky about what sort of fantasy I liked and fae did not fall into that category of selected themes But knowing how much I loved Sarahs Throne of Glass series and the fae presence there I dove into ACOTAR and loved it It had a bit of a BREAKING DAWN ending so I wasnt quite sure where the second book would go but naturally I had very very high hopes for it since I hadnt been let down by a Maas book yetI wont sugar coat it it actually took me a really long time to get into the swing of this book I was enjoying the plot but the beginning felt so incredibly dramatic and I just didnt feel like things were moving forward There was a lot of time spent on Feyres PTSD from her time Under the Mountain and I absolutely understand and dont think that her traumatic experience should be just brushed over I do felt like there was too much time dwelling on it though ACOMAF isnt a short book and I think some pages could have been saved and still gotten the point across throughout a few sections in the beginning If the book were more characterbased instead of plotdriven it might have been more appropriate but the plot really seemed to suffer because of this and this isnt the first time I felt this way in a Maas book either I understand that these characters have gone through something that truly does change them but I felt like I was reading about totally different characters when I started ACOMAF Feyre and Tamlin were just not themselves and I think had ACOTAR ended with a bit more of this shadow or if it had slowly creeped in throughout ACOMAF it wouldnt have been as much of a surprise I just really felt like I was thrown into a totally new environment and it was really hard for me to adjust to especially since I had read ACOTAR over a year before I got to start ACOMAFI continued to have issues with Feyre throughout the book I dont know why but she was just really bothering me Instead of snarky witty comebacks I felt like everything with her was taken as an insult and she was constantly being defensive and kind of hated everyone It was really hard to watch her interact with characters and I started to latch onto new or newtothespotlight characters like Rhysand and his gang It did make me extra thankful for Rhys coming onto the scene and shaking things up though The interactions between Feyre and Tamlin were just unbearable and painful to read Then I ended up on the flip side where although I didnt want Feyre and Tamlin to still be together I also felt really weird that Tamlin was almost totally absent from this book He was there in the beginning and I wont speak of the ending but this book was straight up about Feyre and Rhysand and it almost felt like a waste that we spent all that time building up a romance between Feyre and Tamlin in ACOTAR to have it totally change I absolutely love where it went but its confusing to understand why the FeyreTamlin romance was so important and developed in ACOTAR and why Rhysand wasnt more of a main character throughout that courtship to really get his foot even more in the doorIve followed the romances in Sarah J Maas books quite well I think considering theyre not always simple and straightforward I know some people who have issues with love triangles or already have their OTPs with the first love interest really have trouble moving with the characters as they fall out of love or move from one interest to realize that their true match is someone else and I feel like Ive followed along with that fairly easily I can see where people feel like the romance in ACOMAF is a love triangle and I guess to a certain extent it is but Feyre also does not have interest in both men at the same time It is quite complicated though so if youre sensitive about triangles you almost definitely wont like the romanceI personally loved the development of Rhysand as a love interest especially once Feyre really started to struggle with Tamlin I found it telling that at the hardest points in their lives Feyre and Tamlin drifted apart and just couldnt find a way to even communicate instead of being able to rely on one another and get through a hard time together That doesnt always mean that you shouldnt be with someone but in the case of story telling its a pretty big sign that the main character isnt where they should be Ive heard this complaint from other Maas readers but this is the first of her books where I really felt like the romance started to take over the book While I did love the new RhysandFeyre development I felt like there was a lot of back and forth between them before anything major finally happened and that could have been cut down to some more meaningful interactions instead of repetitive similar situations that happened more than a few times throughout the course of the story Their romance actually is a very important part of the plot so its not like I wanted it to be downplayed but I just felt like so many points of the large general story were pushed aside to develop the romantic moments and it started to turn more romance story than epic fantasy and yes there are some cheesy romance bookworthy moments Lets just say this is NOT A YOUNG ADULT BOOK friends There are some very explicit scenes so if you have teens or are directingteaching teens who are reading this series you may not want to put this book directly into their hands Not that Im saying censor them but Ya know Read it first so you know what youre giving themThe sections where the plot progressed were really quite delightful Sarah J Maas is still a master at layering stories and its so interesting to see how much of a previous book comes back in a different light in a subsequent book There were so many moments that the reader is able to recognize from ACOMAF and see from a different characters perspective or reassess it with more information and it makes the story that much deeper Once things started to really take off around halfway through and a little thereafter the book was simply addicting and I couldnt wait to see where the entire plot of the series was going Sarah really does have an amazing ability to craft an overall series arc and its so fun to watch that develop The ending positively floored me and it was hard to remember why I had been so frustrated for a while throughout earlier sections of the book So many things were revealed actions taken and trusts betrayed that I just really didnt know what was coming The twists and surprises were epic and once again I was left in utter anticipation of the next book,4,2016-06-29,Customer
1339016575,The Ballad of Songbirds and Snakes A Hunger Games Novel The Hunger Games,Kindle Customer,Suzanne Collins,If you loved the Hunger Games you have to read this I couldnt put it down I loved everything about it the characters the storyline and the storytelling This book was a great addition to the Hunger Games series I am now going to reread the other books This book offered insight and background for the books I cant wait to see the movie I am so excited,5,2023-10-29,Customer
399226907,The Very Hungry Caterpillar,JM,David Brooks,My little one doesnt enjoy this book as much as I thought yet Maybe this will change with time Overall book arrived in excellent condition and was the best price,4,2023-03-11,Customer
143127748,The Body Keeps the Score Brain Mind and Body in the Healing of Trauma,Tina Wichman,Bessel van der Kolk,Fascinating read The book gives an insight to the stories of peoples struggles research and solutions,5,2023-04-11,Customer
1419766945,No Brainer Diary of a Wimpy Kid Book 18,Kendyll Madison,Jeff Kinney,This was an amazing book and honestly great series So funny and relatable Jeff Kinney is such a talented writer and really enjoyed reading this hilarious book,5,2023-02-11,Customer
593622030,Just Because,The Golden Bear,Matthew McConaughey,This is a wonderful book that can be read over and over again to a young reader The messages on each page are encouraging and up lifting It reinforces positivity in daily challenges and has light breezy artwork that encourages inclusivityIf your young child loses a game has a bad day or gets bullied there is a lesson to be shared from the pages of this delightful book I highly recommend this book for children and parents,5,2023-03-11,Customer
1728235200,The Leaf Thief The Perfect Fall Book for Children and Toddlers,LS,Alice Hemming,Ordered this book to read to my 5 and 9yo and definitely felt like it was a little too young for them Came back to look at the listing and see its recommended for 25yo which seems accurate Some books have more longevity but I dont think this is one of them Otherwise a very cute book,5,2023-11-10,Customer
1728213746,I Love You Like No Otter A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas Punderland,Shayla,Rose Rossner,Great book so cute and I love reading it to my son and hope he Carries it on to his family when he has one of his own I love reading him books like these even tho hes only two months Definitely worth the money,5,2023-10-14,Customer
